feature,importance_rf,importance_xgb,norm_importance_rf,norm_importance_xgb,rank_rf,rank_xgb,mean_rank
month,0.12551264221521038,0.3944771,0.6226703707476601,1.0,2.0,1.0,1.5
month_cos,0.20136790655396639,0.060036335,1.0,0.1521921938313544,1.0,2.0,1.5
pm25,0.1162138197770086,0.038714457,0.5764148965406137,0.09814120359265377,3.0,5.0,4.0
pm25_lag_1,0.02765341419850713,0.040975623,0.13588561627680923,0.10387326138305158,7.0,4.0,5.5
hours_since_last_rain,0.031278983831477924,0.023891754,0.1539204205499578,0.060565631054538396,5.0,6.0,5.5
pm25_roll_72h_mean,0.03298609329401942,0.019075084,0.16241215788960134,0.048355365919349254,4.0,7.0,5.5
pm25_roll_6h_mean,0.02966925836296413,0.01575778,0.14591310399088772,0.03994599573677393,6.0,13.0,9.5
pm25_lag_24,0.019484050682155626,0.016924083,0.09524845109488565,0.04290257474527734,14.0,10.0,12.0
pm25_lag_48,0.02185367684353239,0.014358257,0.10703576959852851,0.036398201501081674,11.0,15.0,13.0
pm25_lag_72,0.02451448796704852,0.013986953,0.1202715401610454,0.03545694447644781,8.0,18.0,13.0
pm25_roll_12h_std,0.01943848425197432,0.01644712,0.09502178832656567,0.04169347079712808,15.0,12.0,13.5
wind_u,0.019855966369458248,0.014464928,0.09709848496697548,0.036668612366377556,13.0,14.0,13.5
pm25_roll_72h_std,0.020534319858778037,0.014144372,0.10047284365991976,0.035856003363438325,12.0,17.0,14.5
surface_pressure,0.023997346598796557,0.012414684,0.11769910484683789,0.0314712403169882,9.0,21.0,15.0
wind_v,0.02264385303131257,0.012374102,0.1109663720501607,0.03136836628462832,10.0,22.0,16.0
pm25_roll_48h_std,0.017500611451589054,0.013871144,0.08538215643441271,0.03516336842077429,18.0,19.0,18.5
pm25_roll_24h_mean,0.017224412583350994,0.013818201,0.08400825025320473,0.03502915810917651,19.0,20.0,19.5
pm25_roll_48h_mean,0.01849221283662196,0.012045368,0.09031471564756949,0.030535023822466062,16.0,23.0,19.5
day_of_week,0.009870445502537524,0.016610675,0.04742714152823624,0.04210808331989192,30.0,11.0,20.5
hour_cos,0.006226826918142395,0.017015934,0.029302555692677913,0.043135416544686625,34.0,9.0,21.5
is_dry_season,0.0010241567917799246,0.04834034,0.0034227224732506284,0.12254282774353104,41.0,3.0,22.0
temperature_2m,0.017593554674339228,0.009684468,0.08584448732321198,0.02455013918001459,17.0,28.0,22.5
relative_humidity_2m,0.015338949551615006,0.010807544,0.07462932219942109,0.027397139188702714,21.0,25.0,23.0
pm25_roll_24h_std,0.014652724741286115,0.011775511,0.07121580890509244,0.029850937713307678,22.0,24.0,23.0
pm25_lag_12,0.015585740334844514,0.009890051,0.07585694266255757,0.02507129221910247,20.0,27.0,23.5
is_rush_hour,0.0012687049555436568,0.017220851,0.00463918739195719,0.043654881537390486,39.0,8.0,23.5
pm25_roll_6h_std,0.013370919801234829,0.008480099,0.0648396794825725,0.021497062940946048,23.0,31.0,27.0
pm25_lag_2,0.013072314881636822,0.008511808,0.06335431805661179,0.02157744464057786,24.0,30.0,27.0
month_sin,0.003785565455739587,0.014193642,0.017158899078382295,0.035980902269527604,38.0,16.0,27.0
pm25_lag_3,0.009330087620056373,0.010047412,0.04473921945403922,0.025470202369138866,31.0,26.0,28.5
pm25_lag_6,0.01286364399395761,0.007899117,0.06231631879090328,0.020024271982188584,25.0,35.0,30.0
pm25_diff_24h,0.01147517128755099,0.008115399,0.055409587977920984,0.020572547086814406,26.0,34.0,30.0
pm25_roll_12h_mean,0.009281497699075405,0.0093255285,0.04449751682431439,0.02364022787823477,32.0,29.0,30.5
pressure_trend_3h,0.010612037095666733,0.008145232,0.05111606784510266,0.02064817392572256,29.0,33.0,31.0
wind_speed_10m,0.011214209413730249,0.0062109693,0.05411147573803698,0.01574481587970495,27.0,38.0,32.5
boundary_layer_height,0.011090595486951151,0.007049325,0.05349657843896908,0.017870048570406503,28.0,37.0,32.5
precipitation,0.004012873110214303,0.008336985,0.018289603898104898,0.021134267539911555,37.0,32.0,34.5
pm25_diff_1h,0.00761222262619348,0.0038361272,0.03619398047965364,0.009724587913644552,33.0,39.0,36.0
hour_sin,0.004144138158932478,0.007349509,0.01894256045423034,0.018631015158514876,36.0,36.0,36.0
hour,0.004393400934169551,0.0033761945,0.020182477438061352,0.008558657817557647,35.0,40.0,37.5
is_weekend,0.0011967768902887265,0.0,0.004281392973440949,0.0,40.0,42.0,41.0
wind_condition_encoded,0.00042582072334371954,0.0,0.000446397377828273,0.0,42.0,42.0,42.0
is_raining,0.0003360806433972116,0.0,0.0,0.0,43.0,42.0,42.5
